locality,date,value,year,month,variable
Yapsiei,1971-06-01,22.050000000000004,1971,6,tmin
Elem,1971-07-01,21.800000000000004,1971,7,tmin
Morox,1971-07-01,21.67,1971,7,tmin
Niksek,1971-07-01,21.520000000000003,1971,7,tmin
Ohu,1971-07-01,21.37,1971,7,tmin
Utai,1971-07-01,21.37,1971,7,tmin
Wamangu,1971-07-01,21.020000000000003,1971,7,tmin
Wanang,1971-07-01,20.930000000000003,1971,7,tmin
Yapsiei,1971-07-01,21.240000000000002,1971,7,tmin
Elem,1971-08-01,21.680000000000003,1971,8,tmin
Morox,1971-08-01,22.000000000000004,1971,8,tmin
Niksek,1971-08-01,22.060000000000002,1971,8,tmin
Ohu,1971-08-01,22.180000000000003,1971,8,tmin
Utai,1971-08-01,21.650000000000002,1971,8,tmin
Wamangu,1971-08-01,21.650000000000002,1971,8,tmin
Wanang,1971-08-01,21.46,1971,8,tmin
Yapsiei,1971-08-01,21.320000000000004,1971,8,tmin
Elem,1971-09-01,21.42,1971,9,tmin
Morox,1971-09-01,21.110000000000003,1971,9,tmin
Niksek,1971-09-01,20.900000000000002,1971,9,tmin
Ohu,1971-09-01,21.160000000000004,1971,9,tmin
Utai,1971-09-01,21.560000000000002,1971,9,tmin
Wamangu,1971-09-01,21.85,1971,9,tmin
Wanang,1971-09-01,21.910000000000004,1971,9,tmin
Yapsiei,1971-09-01,22.12,1971,9,tmin
Elem,1971-10-01,20.610000000000003,1971,10,tmin
Morox,1971-10-01,20.580000000000002,1971,10,tmin
Niksek,1971-10-01,20.240000000000002,1971,10,tmin
Ohu,1971-10-01,20.01,1971,10,tmin
Utai,1971-10-01,19.85,1971,10,tmin
Wamangu,1971-10-01,19.35,1971,10,tmin
Wanang,1971-10-01,19.430000000000003,1971,10,tmin
Yapsiei,1971-10-01,19.650000000000002,1971,10,tmin
Elem,1971-11-01,20.220000000000002,1971,11,tmin
Morox,1971-11-01,20.360000000000003,1971,11,tmin
Niksek,1971-11-01,20.820000000000004,1971,11,tmin
Ohu,1971-11-01,20.930000000000003,1971,11,tmin
Utai,1971-11-01,22.610000000000003,1971,11,tmin
Wamangu,1971-11-01,22.12,1971,11,tmin
Wanang,1971-11-01,22.110000000000003,1971,11,tmin
Yapsiei,1971-11-01,21.71,1971,11,tmin
Elem,1971-12-01,21.69,1971,12,tmin
Morox,1971-12-01,21.340000000000003,1971,12,tmin
Niksek,1971-12-01,21.310000000000002,1971,12,tmin
Ohu,1971-12-01,21.680000000000003,1971,12,tmin
Utai,1971-12-01,22.180000000000003,1971,12,tmin
Wamangu,1971-12-01,22.470000000000002,1971,12,tmin
Wanang,1971-12-01,22.750000000000004,1971,12,tmin
Yapsiei,1971-12-01,22.840000000000003,1971,12,tmin
Elem,1972-01-01,19.53,1972,1,tmin
Morox,1972-01-01,19.87,1972,1,tmin
Niksek,1972-01-01,19.650000000000002,1972,1,tmin
Ohu,1972-01-01,19.310000000000002,1972,1,tmin
Utai,1972-01-01,19.1,1972,1,tmin
Wamangu,1972-01-01,19.51,1972,1,tmin
Wanang,1972-01-01,19.200000000000003,1972,1,tmin
Yapsiei,1972-01-01,19.220000000000002,1972,1,tmin
Elem,1972-02-01,19.3,1972,2,tmin
Morox,1972-02-01,19.430000000000003,1972,2,tmin
Niksek,1972-02-01,19.92,1972,2,tmin
Ohu,1972-02-01,20.160000000000004,1972,2,tmin
Utai,1972-02-01,21.19,1972,2,tmin
Wamangu,1972-02-01,21.610000000000003,1972,2,tmin
Wanang,1972-02-01,21.380000000000003,1972,2,tmin
Yapsiei,1972-02-01,21.020000000000003,1972,2,tmin
Elem,1972-03-01,21.040000000000003,1972,3,tmin
Morox,1972-03-01,21.490000000000002,1972,3,tmin
Niksek,1972-03-01,21.080000000000002,1972,3,tmin
Ohu,1972-03-01,20.990000000000002,1972,3,tmin
Utai,1972-03-01,20.990000000000002,1972,3,tmin
Wamangu,1972-03-01,21.200000000000003,1972,3,tmin
Wanang,1972-03-01,21.500000000000004,1972,3,tmin
Yapsiei,1972-03-01,21.94,1972,3,tmin
Elem,1972-04-01,20.610000000000003,1972,4,tmin
Morox,1972-04-01,20.650000000000002,1972,4,tmin
Niksek,1972-04-01,20.520000000000003,1972,4,tmin
Ohu,1972-04-01,20.270000000000003,1972,4,tmin
Utai,1972-04-01,20.220000000000002,1972,4,tmin
Wamangu,1972-04-01,20.540000000000003,1972,4,tmin
Wanang,1972-04-01,20.150000000000002,1972,4,tmin
Yapsiei,1972-04-01,19.890000000000004,1972,4,tmin
Elem,1972-05-01,20.290000000000003,1972,5,tmin
Morox,1972-05-01,20.650000000000002,1972,5,tmin
Niksek,1972-05-01,20.900000000000002,1972,5,tmin
Ohu,1972-05-01,21.270000000000003,1972,5,tmin
Utai,1972-05-01,21.250000000000004,1972,5,tmin
Wamangu,1972-05-01,21.53,1972,5,tmin
Wanang,1972-05-01,21.42,1972,5,tmin
Yapsiei,1972-05-01,21.250000000000004,1972,5,tmin
Elem,1972-06-01,20.770000000000003,1972,6,tmin
Morox,1972-06-01,21.290000000000003,1972,6,tmin
Niksek,1972-06-01,20.76,1972,6,tmin
Ohu,1972-06-01,20.550000000000004,1972,6,tmin
Utai,1972-06-01,20.900000000000002,1972,6,tmin
Wamangu,1972-06-01,21.110000000000003,1972,6,tmin
Wanang,1972-06-01,21.550000000000004,1972,6,tmin
Yapsiei,1972-06-01,21.950000000000003,1972,6,tmin
Elem,1972-07-01,21.560000000000002,1972,7,tmin
Morox,1972-07-01,21.880000000000003,1972,7,tmin
Niksek,1972-07-01,21.76,1972,7,tmin
Ohu,1972-07-01,21.37,1972,7,tmin
Utai,1972-07-01,21.220000000000002,1972,7,tmin
Wamangu,1972-07-01,21.640000000000004,1972,7,tmin
Wanang,1972-07-01,21.330000000000002,1972,7,tmin
Yapsiei,1972-07-01,21.300000000000004,1972,7,tmin
Elem,1972-08-01,21.28,1972,8,tmin
Morox,1972-08-01,21.450000000000003,1972,8,tmin
Niksek,1972-08-01,21.750000000000004,1972,8,tmin
Ohu,1972-08-01,22.380000000000003,1972,8,tmin
Utai,1972-08-01,21.450000000000003,1972,8,tmin
Wamangu,1972-08-01,21.85,1972,8,tmin
Wanang,1972-08-01,21.660000000000004,1972,8,tmin
Yapsiei,1972-08-01,21.320000000000004,1972,8,tmin
Elem,1972-09-01,21.320000000000004,1972,9,tmin
Morox,1972-09-01,21.860000000000003,1972,9,tmin
Niksek,1972-09-01,21.37,1972,9,tmin
Ohu,1972-09-01,21.250000000000004,1972,9,tmin
Utai,1972-09-01,21.35,1972,9,tmin
Wamangu,1972-09-01,21.51,1972,9,tmin
Wanang,1972-09-01,21.810000000000002,1972,9,tmin
Yapsiei,1972-09-01,22.220000000000002,1972,9,tmin
Elem,1972-10-01,20.390000000000004,1972,10,tmin
Morox,1972-10-01,20.680000000000003,1972,10,tmin
Niksek,1972-10-01,20.42,1972,10,tmin
Ohu,1972-10-01,20.020000000000003,1972,10,tmin
Utai,1972-10-01,19.650000000000002,1972,10,tmin
Wamangu,1972-10-01,19.830000000000002,1972,10,tmin
Wanang,1972-10-01,19.630000000000003,1972,10,tmin
Yapsiei,1972-10-01,19.46,1972,10,tmin
Elem,1972-11-01,19.8,1972,11,tmin
Morox,1972-11-01,20.05,1972,11,tmin
Niksek,1972-11-01,20.640000000000004,1972,11,tmin
Ohu,1972-11-01,20.830000000000002,1972,11,tmin
Utai,1972-11-01,22.28,1972,11,tmin
Wamangu,1972-11-01,22.01,1972,11,tmin
Wanang,1972-11-01,22.01,1972,11,tmin
Yapsiei,1972-11-01,21.71,1972,11,tmin
Elem,1972-12-01,21.310000000000002,1972,12,tmin
Morox,1972-12-01,21.230000000000004,1972,12,tmin
Niksek,1972-12-01,21.060000000000002,1972,12,tmin
Ohu,1972-12-01,20.87,1972,12,tmin
Utai,1972-12-01,21.240000000000002,1972,12,tmin
Wamangu,1972-12-01,21.880000000000003,1972,12,tmin
Wanang,1972-12-01,22.380000000000003,1972,12,tmin
Yapsiei,1972-12-01,22.78,1972,12,tmin
Elem,1973-01-01,20.520000000000003,1973,1,tmin
Morox,1973-01-01,20.480000000000004,1973,1,tmin
Niksek,1973-01-01,20.320000000000004,1973,1,tmin
Ohu,1973-01-01,20.21,1973,1,tmin
Utai,1973-01-01,19.880000000000003,1973,1,tmin
Wamangu,1973-01-01,19.700000000000003,1973,1,tmin
Wanang,1973-01-01,19.310000000000002,1973,1,tmin
Yapsiei,1973-01-01,19.860000000000003,1973,1,tmin
Elem,1973-02-01,20.080000000000002,1973,2,tmin
Morox,1973-02-01,19.900000000000002,1973,2,tmin
Niksek,1973-02-01,19.790000000000003,1973,2,tmin
Ohu,1973-02-01,20.160000000000004,1973,2,tmin
Utai,1973-02-01,22.290000000000003,1973,2,tmin
Wamangu,1973-02-01,22.110000000000003,1973,2,tmin
Wanang,1973-02-01,21.94,1973,2,tmin
